sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
1;assignment_sub;2025;690554;334722.34814814816;59089;204;2025;2025;1.11 (+- 0.61);1.0;1.0;2
1;assignment_try;1052;690554;413365.7718631179;21382;75;1052;1052;1.20 (+- 0.58);1.0;1.5;2
1;resource_vis;1109;690540;386231.3282236249;34184;118;1109;1109;1.16 (+- 0.59);1.0;1.5;2
1;assignment_vis;1007;690554;414991.4478649454;41469;152;1007;1007;1.18 (+- 0.56);1.0;1.5;2
1;forum_vis;638;690554;440934.9106583072;34720;152;638;638;1.22 (+- 0.55);1.5;1.5;2
1;forum_participation;269;690208;462199.14126394055;10886;56;269;269;1.27 (+- 0.53);1.5;1.5;2
2;assignment_sub>assignment_try;638;690540;500350.6065830721;5512;21;638;638;1.28 (+- 0.52);1.5;1.5;2
2;assignment_sub>assignment_sub;1488;690554;430623.6995967742;21432;75;1488;1488;1.24 (+- 0.53);1.5;1.5;2
2;assignment_sub>forum_vis;426;690227;506989.23004694836;6927;33;426;426;1.28 (+- 0.51);1.5;1.5;2
2;assignment_sub>assignment_vis;617;690237;513417.17179902754;9814;38;617;617;1.23 (+- 0.52);1.5;1.5;2
2;assignment_sub>resource_vis;561;690249;519579.99643493764;7612;30;561;561;1.22 (+- 0.53);1.5;1.5;2
2;assignment_sub>forum_participation;188;689145;514450.1170212766;1420;8;188;188;1.29 (+- 0.51);1.5;1.5;2
2;assignment_try>assignment_sub;1052;690554;413365.7718631179;12781;46;1052;1052;1.20 (+- 0.58);1.0;1.5;2
2;assignment_try>assignment_try;347;690451;523829.6628242075;1400;5;347;347;1.28 (+- 0.52);1.5;1.5;2
2;assignment_try>resource_vis;512;690540;446991.279296875;5007;21;512;512;1.20 (+- 0.58);1.0;1.5;2
2;assignment_try>assignment_vis;367;690451;496550.53950953676;3051;13;367;367;1.21 (+- 0.55);1.5;1.5;2
2;assignment_try>forum_vis;250;690554;501811.768;866;4;250;250;1.29 (+- 0.53);1.5;1.5;2
2;resource_vis>assignment_sub;1109;690540;386231.3282236249;21248;75;1109;1109;1.16 (+- 0.59);1.0;1.5;2
2;resource_vis>forum_vis;347;690540;476028.1873198847;4471;21;347;347;1.24 (+- 0.54);1.5;1.5;2
2;resource_vis>assignment_vis;446;690451;495070.9260089686;7385;30;446;446;1.21 (+- 0.53);1.5;1.5;2
2;resource_vis>resource_vis;464;690540;488830.5560344828;6868;27;464;464;1.21 (+- 0.55);1.5;1.5;2
2;resource_vis>assignment_try;457;690540;463483.8577680525;4489;18;457;457;1.24 (+- 0.58);1.5;1.5;2
2;assignment_vis>resource_vis;837;690540;412951.60692951013;14680;53;837;837;1.17 (+- 0.57);1.0;1.5;2
2;assignment_vis>forum_vis;521;690554;458607.452975048;12518;54;521;521;1.23 (+- 0.53);1.5;1.5;2
2;assignment_vis>assignment_vis;439;690319;490316.68109339406;8972;39;439;439;1.22 (+- 0.53);1.5;1.5;2
2;assignment_vis>assignment_sub;1007;690554;414991.4478649454;24728;93;1007;1007;1.18 (+- 0.56);1.0;1.5;2
2;assignment_vis>forum_participation;220;690208;487309.3409090909;1992;10;220;220;1.28 (+- 0.51);1.5;1.5;2
2;assignment_vis>assignment_try;443;690554;466849.53498871333;5263;22;443;443;1.26 (+- 0.54);1.5;1.5;2
2;forum_vis>assignment_vis;340;690540;493940.80294117646;6032;29;340;340;1.24 (+- 0.53);1.5;1.5;2
2;forum_vis>resource_vis;343;690540;466498.22157434403;3718;17;343;343;1.20 (+- 0.58);1.5;1.5;2
2;forum_vis>assignment_sub;638;690554;440934.9106583072;18842;83;638;638;1.22 (+- 0.55);1.5;1.5;2
2;forum_vis>forum_vis;400;690554;466518.55;14410;70;400;400;1.26 (+- 0.54);1.5;1.5;2
2;forum_vis>forum_participation;268;690208;461663.197761194;7222;38;268;268;1.27 (+- 0.53);1.5;1.5;2
2;forum_vis>assignment_try;296;690554;491332.2364864865;1744;8;296;296;1.28 (+- 0.52);1.5;1.5;2
2;forum_participation>forum_vis;249;690208;463848.9558232932;6356;34;249;249;1.28 (+- 0.53);1.5;1.5;2
2;forum_participation>assignment_sub;269;690208;462199.14126394055;5443;28;269;269;1.27 (+- 0.53);1.5;1.5;2
2;forum_participation>forum_participation;178;690208;488184.7471910112;2768;16;178;178;1.29 (+- 0.53);1.5;1.5;2
3;assignment_sub>assignment_try>assignment_sub;638;690540;500350.6065830721;2890;11;638;638;1.28 (+- 0.52);1.5;1.5;2
3;assignment_sub>assignment_try>resource_vis;207;690203;550993.9178743961;414;2;207;207;1.28 (+- 0.53);1.5;1.5;2
3;assignment_sub>assignment_sub>assignment_try;164;690034;592091.4634146341;328;2;164;164;1.32 (+- 0.47);1.5;1.5;2
3;assignment_sub>assignment_sub>assignment_sub;641;690303;576741.7145085804;2457;9;641;641;1.26 (+- 0.51);1.5;1.5;2
3;assignment_sub>forum_vis>assignment_vis;174;690137;561768.764367816;348;2;174;174;1.28 (+- 0.49);1.5;1.5;2
3;assignment_sub>forum_vis>forum_vis;245;690137;532013.2653061225;1228;6;245;245;1.29 (+- 0.51);1.5;1.5;2
3;assignment_sub>forum_vis>resource_vis;186;690227;550078.2096774194;372;2;186;186;1.29 (+- 0.50);1.5;1.5;2
3;assignment_sub>forum_vis>assignment_sub;426;690227;506989.23004694836;3557;17;426;426;1.28 (+- 0.51);1.5;1.5;2
3;assignment_sub>forum_vis>forum_participation;188;689145;514450.1170212766;710;4;188;188;1.29 (+- 0.51);1.5;1.5;2
3;assignment_sub>forum_vis>assignment_try;173;690227;540695.774566474;346;2;173;173;1.31 (+- 0.48);1.5;1.5;2
3;assignment_sub>assignment_vis>forum_vis;364;690227;515946.76923076925;1798;8;364;364;1.27 (+- 0.51);1.5;1.5;2
3;assignment_sub>assignment_vis>assignment_vis;220;690203;567496.8181818182;440;2;220;220;1.25 (+- 0.50);1.5;1.5;2
3;assignment_sub>assignment_vis>resource_vis;460;690237;527430.452173913;2770;11;460;460;1.22 (+- 0.52);1.5;1.5;2
3;assignment_sub>assignment_vis>assignment_sub;617;690237;513417.17179902754;5164;20;617;617;1.23 (+- 0.52);1.5;1.5;2
3;assignment_sub>assignment_vis>assignment_try;234;690237;540972.3760683761;468;2;234;234;1.26 (+- 0.51);1.5;1.5;2
3;assignment_sub>resource_vis>forum_vis;171;690157;536099.7719298246;342;2;171;171;1.26 (+- 0.53);1.5;1.5;2
3;assignment_sub>resource_vis>assignment_sub;561;690249;519579.99643493764;4049;16;561;561;1.22 (+- 0.53);1.5;1.5;2
3;assignment_sub>resource_vis>assignment_try;180;690237;552334.55;360;2;180;180;1.25 (+- 0.55);1.5;1.5;2
3;assignment_sub>forum_participation>forum_vis;167;689145;516395.55688622757;668;4;167;167;1.29 (+- 0.51);1.5;1.5;2
3;assignment_sub>forum_participation>assignment_sub;188;689145;514450.1170212766;710;4;188;188;1.29 (+- 0.51);1.5;1.5;2
3;assignment_try>assignment_sub>assignment_try;269;690451;525460.312267658;538;2;269;269;1.28 (+- 0.51);1.5;1.0;2
3;assignment_try>assignment_sub>assignment_sub;655;690554;481400.3465648855;3287;13;655;655;1.25 (+- 0.54);1.5;1.5;2
3;assignment_try>assignment_sub>assignment_vis;231;690230;527646.1645021645;808;4;231;231;1.24 (+- 0.52);1.5;1.5;2
3;assignment_try>assignment_sub>resource_vis;220;690230;535979.0272727272;786;4;220;220;1.26 (+- 0.54);1.5;1.5;2
3;assignment_try>assignment_try>assignment_sub;347;690451;523829.6628242075;784;3;347;347;1.28 (+- 0.52);1.5;1.5;2
3;assignment_try>resource_vis>assignment_sub;512;690540;446991.279296875;2655;11;512;512;1.20 (+- 0.58);1.0;1.5;2
3;assignment_try>resource_vis>assignment_vis;173;690407;507123.68786127167;346;2;173;173;1.21 (+- 0.52);1.5;1.5;2
3;assignment_try>resource_vis>resource_vis;177;690407;517838.74011299433;354;2;177;177;1.25 (+- 0.54);1.5;1.5;2
3;assignment_try>assignment_vis>forum_vis;183;690424;519604.7978142077;366;2;183;183;1.27 (+- 0.53);1.5;1.5;2
3;assignment_try>assignment_vis>assignment_sub;367;690451;496550.53950953676;1620;7;367;367;1.21 (+- 0.55);1.5;1.5;2
3;assignment_try>assignment_vis>resource_vis;304;690451;499871.56907894736;954;4;304;304;1.20 (+- 0.55);1.5;1.5;2
3;assignment_try>forum_vis>assignment_sub;250;690554;501811.768;433;2;250;250;1.29 (+- 0.53);1.5;1.5;2
3;resource_vis>assignment_sub>assignment_sub;743;690540;462195.7200538358;6124;23;743;743;1.26 (+- 0.53);1.5;1.5;2
3;resource_vis>assignment_sub>forum_vis;185;690203;529213.2864864864;370;2;185;185;1.29 (+- 0.51);1.5;1.5;2
3;resource_vis>assignment_sub>assignment_vis;321;690230;537280.5638629283;1952;8;321;321;1.21 (+- 0.52);1.5;1.5;2
3;resource_vis>assignment_sub>resource_vis;324;690249;540737.5925925926;1934;8;324;324;1.23 (+- 0.53);1.5;1.5;2
3;resource_vis>assignment_sub>assignment_try;292;690470;505946.2773972603;1002;4;292;292;1.31 (+- 0.52);1.5;1.5;2
3;resource_vis>forum_vis>assignment_vis;167;690358;506159.41916167666;334;2;167;167;1.24 (+- 0.53);1.5;1.5;2
3;resource_vis>forum_vis>resource_vis;185;690540;501137.27567567566;370;2;185;185;1.25 (+- 0.54);1.5;1.5;2
3;resource_vis>forum_vis>assignment_sub;347;690540;476028.1873198847;2333;11;347;347;1.24 (+- 0.54);1.5;1.5;2
3;resource_vis>forum_vis>forum_vis;210;690358;479053.68095238094;420;2;210;210;1.25 (+- 0.56);1.5;1.5;2
3;resource_vis>assignment_vis>resource_vis;372;690451;501295.5967741936;2341;9;372;372;1.20 (+- 0.52);1.5;1.5;2
3;resource_vis>assignment_vis>assignment_sub;446;690451;495070.9260089686;3914;16;446;446;1.21 (+- 0.53);1.5;1.5;2
3;resource_vis>assignment_vis>forum_vis;230;690424;508126.44782608695;816;4;230;230;1.26 (+- 0.53);1.5;1.5;2
3;resource_vis>assignment_vis>assignment_vis;178;690137;541445.2078651686;356;2;178;178;1.21 (+- 0.57);1.5;1.5;2
3;resource_vis>assignment_vis>assignment_try;170;690221;534240.0588235294;340;2;170;170;1.24 (+- 0.54);1.5;1.5;2
3;resource_vis>resource_vis>assignment_sub;464;690540;488830.5560344828;3737;15;464;464;1.21 (+- 0.55);1.5;1.5;2
3;resource_vis>assignment_try>assignment_sub;457;690540;463483.8577680525;2447;10;457;457;1.24 (+- 0.58);1.5;1.5;2
3;resource_vis>assignment_try>resource_vis;221;690319;512392.04977375566;772;4;221;221;1.24 (+- 0.57);1.5;1.5;2
3;assignment_vis>resource_vis>forum_vis;273;690540;487981.68498168496;902;4;273;273;1.25 (+- 0.54);1.5;1.5;2
3;assignment_vis>resource_vis>assignment_vis;322;690230;493339.2888198758;2290;10;322;322;1.21 (+- 0.54);1.5;1.5;2
3;assignment_vis>resource_vis>resource_vis;321;690319;490958.7788161994;2401;11;321;321;1.21 (+- 0.55);1.5;1.5;2
3;assignment_vis>resource_vis>assignment_sub;837;690540;412951.60692951013;8777;33;837;837;1.17 (+- 0.57);1.0;1.5;2
3;assignment_vis>resource_vis>assignment_try;348;690540;465516.7068965517;1614;7;348;348;1.25 (+- 0.56);1.5;1.5;2
3;assignment_vis>forum_vis>assignment_vis;262;690319;495251.01145038166;1608;8;262;262;1.22 (+- 0.53);1.5;1.5;2
3;assignment_vis>forum_vis>resource_vis;273;690540;481721.68131868134;878;4;273;273;1.22 (+- 0.57);1.5;1.5;2
3;assignment_vis>forum_vis>assignment_sub;521;690554;458607.452975048;6494;28;521;521;1.23 (+- 0.53);1.5;1.5;2
3;assignment_vis>forum_vis>forum_vis;318;690554;479771.2924528302;3480;17;318;318;1.26 (+- 0.53);1.5;1.5;2
3;assignment_vis>forum_vis>forum_participation;220;690208;487309.3409090909;1160;6;220;220;1.28 (+- 0.51);1.5;1.5;2
3;assignment_vis>forum_vis>assignment_try;231;690554;499096.51948051946;462;2;231;231;1.29 (+- 0.51);1.5;1.5;2
3;assignment_vis>assignment_vis>resource_vis;322;690319;492867.67391304346;2238;10;322;322;1.20 (+- 0.54);1.5;1.5;2
3;assignment_vis>assignment_vis>assignment_sub;439;690319;490316.68109339406;4595;20;439;439;1.22 (+- 0.53);1.5;1.5;2
3;assignment_vis>assignment_vis>forum_vis;282;690319;507280.89361702127;1678;8;282;282;1.26 (+- 0.52);1.5;1.5;2
3;assignment_vis>assignment_vis>assignment_vis;168;690137;533887.6785714285;336;2;168;168;1.22 (+- 0.57);1.5;1.5;2
3;assignment_vis>assignment_vis>assignment_try;180;690319;526933.4666666667;360;2;180;180;1.23 (+- 0.53);1.5;1.5;2
3;assignment_vis>assignment_sub>assignment_sub;649;690554;476255.33898305084;5866;24;649;649;1.28 (+- 0.51);1.5;1.5;2
3;assignment_vis>assignment_sub>forum_vis;191;690203;513363.78010471206;712;4;191;191;1.33 (+- 0.50);1.5;1.5;2
3;assignment_vis>assignment_sub>assignment_vis;274;690230;521692.8868613139;2050;10;274;274;1.25 (+- 0.51);1.5;1.5;2
3;assignment_vis>assignment_sub>resource_vis;238;690237;529424.8697478991;1624;8;238;238;1.25 (+- 0.52);1.5;1.5;2
3;assignment_vis>assignment_sub>assignment_try;256;690458;493205.0625;930;4;256;256;1.32 (+- 0.50);1.5;1.5;2
3;assignment_vis>forum_participation>forum_vis;196;690208;482336.7091836735;784;4;196;196;1.28 (+- 0.51);1.5;1.5;2
3;assignment_vis>forum_participation>assignment_sub;220;690208;487309.3409090909;996;5;220;220;1.28 (+- 0.51);1.5;1.5;2
3;assignment_vis>assignment_try>assignment_sub;443;690554;466849.53498871333;2827;12;443;443;1.26 (+- 0.54);1.5;1.5;2
3;assignment_vis>assignment_try>resource_vis;200;690319;506133.685;730;4;200;200;1.24 (+- 0.54);1.5;1.5;2
3;forum_vis>assignment_vis>resource_vis;223;690540;502048.7802690583;778;4;223;223;1.26 (+- 0.55);1.5;1.5;2
3;forum_vis>assignment_vis>assignment_sub;340;690540;493940.80294117646;3106;15;340;340;1.24 (+- 0.53);1.5;1.5;2
3;forum_vis>assignment_vis>forum_vis;286;690540;501562.46153846156;2058;10;286;286;1.27 (+- 0.52);1.5;1.5;2
3;forum_vis>resource_vis>assignment_sub;343;690540;466498.22157434403;1954;9;343;343;1.20 (+- 0.58);1.5;1.5;2
3;forum_vis>resource_vis>forum_vis;192;690540;491652.734375;384;2;192;192;1.28 (+- 0.56);1.5;1.5;2
3;forum_vis>assignment_sub>assignment_sub;402;690554;512563.0721393035;2406;11;402;402;1.29 (+- 0.52);1.5;1.5;2
3;forum_vis>assignment_sub>forum_vis;198;690203;525915.7676767677;732;4;198;198;1.32 (+- 0.51);1.5;1.5;2
3;forum_vis>assignment_sub>assignment_vis;192;690203;529112.171875;720;4;192;192;1.29 (+- 0.52);1.5;1.5;2
3;forum_vis>forum_vis>assignment_vis;211;690358;510801.1279620853;1104;6;211;211;1.26 (+- 0.53);1.5;1.5;2
3;forum_vis>forum_vis>resource_vis;196;690540;503165.5255102041;392;2;196;196;1.30 (+- 0.54);1.5;1.5;2
3;forum_vis>forum_vis>forum_vis;273;690358;485370.4652014652;4272;22;273;273;1.27 (+- 0.53);1.5;1.5;2
3;forum_vis>forum_vis>assignment_sub;400;690554;466518.55;7401;36;400;400;1.26 (+- 0.54);1.5;1.5;2
3;forum_vis>forum_vis>forum_participation;213;690208;486631.1455399061;2872;16;213;213;1.29 (+- 0.52);1.5;1.5;2
3;forum_vis>forum_vis>assignment_try;172;690209;509887.8023255814;344;2;172;172;1.34 (+- 0.52);1.5;1.5;2
3;forum_vis>forum_participation>forum_vis;248;690208;463276.4435483871;4046;22;248;248;1.28 (+- 0.53);1.5;1.5;2
3;forum_vis>forum_participation>assignment_sub;268;690208;461663.197761194;3611;19;268;268;1.27 (+- 0.53);1.5;1.5;2
3;forum_vis>forum_participation>forum_participation;178;690208;488184.7471910112;1384;8;178;178;1.29 (+- 0.53);1.5;1.5;2
3;forum_vis>assignment_try>assignment_sub;296;690554;491332.2364864865;872;4;296;296;1.28 (+- 0.52);1.5;1.5;2
3;forum_participation>forum_vis>assignment_sub;249;690208;463848.9558232932;3178;17;249;249;1.28 (+- 0.53);1.5;1.5;2
3;forum_participation>forum_vis>forum_vis;197;690208;488905.20304568525;1790;10;197;197;1.28 (+- 0.53);1.5;1.5;2
3;forum_participation>forum_vis>forum_participation;178;690208;488184.7471910112;1384;8;178;178;1.29 (+- 0.53);1.5;1.5;2
3;forum_participation>forum_participation>forum_vis;168;690208;489534.25595238095;1344;8;168;168;1.29 (+- 0.53);1.5;1.5;2
3;forum_participation>forum_participation>assignment_sub;178;690208;488184.7471910112;1384;8;178;178;1.29 (+- 0.53);1.5;1.5;2
4;assignment_sub>assignment_try>assignment_sub>assignment_sub;268;690282;587670.4514925373;268;1;268;268;1.26 (+- 0.51);1.5;1.5;2
4;assignment_sub>assignment_try>resource_vis>assignment_sub;207;690203;550993.9178743961;207;1;207;207;1.28 (+- 0.53);1.5;1.5;2
4;assignment_sub>assignment_sub>assignment_try>assignment_sub;164;690034;592091.4634146341;164;1;164;164;1.32 (+- 0.47);1.5;1.5;2
4;assignment_sub>forum_vis>assignment_vis>assignment_sub;174;690137;561768.764367816;174;1;174;174;1.28 (+- 0.49);1.5;1.5;2
4;assignment_sub>forum_vis>forum_vis>assignment_sub;245;690137;532013.2653061225;614;3;245;245;1.29 (+- 0.51);1.5;1.5;2
4;assignment_sub>forum_vis>resource_vis>assignment_sub;186;690227;550078.2096774194;186;1;186;186;1.29 (+- 0.50);1.5;1.5;2
4;assignment_sub>forum_vis>assignment_sub>assignment_sub;187;690227;595667.3315508021;187;1;187;187;1.31 (+- 0.47);1.5;1.5;2
4;assignment_sub>forum_vis>forum_participation>forum_vis;167;689145;516395.55688622757;334;2;167;167;1.29 (+- 0.51);1.5;1.5;2
4;assignment_sub>forum_vis>forum_participation>assignment_sub;188;689145;514450.1170212766;355;2;188;188;1.29 (+- 0.51);1.5;1.5;2
4;assignment_sub>forum_vis>assignment_try>assignment_sub;173;690227;540695.774566474;173;1;173;173;1.31 (+- 0.48);1.5;1.5;2
4;assignment_sub>assignment_vis>forum_vis>forum_vis;202;690137;542143.6089108911;404;2;202;202;1.29 (+- 0.50);1.5;1.5;2
4;assignment_sub>assignment_vis>forum_vis>assignment_sub;364;690227;515946.76923076925;899;4;364;364;1.27 (+- 0.51);1.5;1.5;2
4;assignment_sub>assignment_vis>assignment_vis>assignment_sub;220;690203;567496.8181818182;220;1;220;220;1.25 (+- 0.50);1.5;1.5;2
4;assignment_sub>assignment_vis>resource_vis>assignment_sub;460;690237;527430.452173913;1496;6;460;460;1.22 (+- 0.52);1.5;1.5;2
4;assignment_sub>assignment_vis>assignment_sub>assignment_sub;292;690237;584318.3732876712;514;2;292;292;1.27 (+- 0.49);1.5;1.5;2
4;assignment_sub>assignment_vis>assignment_try>assignment_sub;234;690237;540972.3760683761;234;1;234;234;1.26 (+- 0.51);1.5;1.5;2
4;assignment_sub>resource_vis>forum_vis>assignment_sub;171;690157;536099.7719298246;171;1;171;171;1.26 (+- 0.53);1.5;1.5;2
4;assignment_sub>resource_vis>assignment_sub>assignment_sub;264;690249;583840.5303030303;486;2;264;264;1.24 (+- 0.51);1.5;1.5;2
4;assignment_sub>resource_vis>assignment_try>assignment_sub;180;690237;552334.55;180;1;180;180;1.25 (+- 0.55);1.5;1.5;2
4;assignment_sub>forum_participation>forum_vis>assignment_sub;167;689145;516395.55688622757;334;2;167;167;1.29 (+- 0.51);1.5;1.5;2
4;assignment_try>assignment_sub>assignment_try>assignment_sub;269;690451;525460.312267658;269;1;269;269;1.28 (+- 0.51);1.5;1.0;2
